States,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
ALABAMA,5.0,13.0,22.0,10.0,8.0,7.0,51.0,23.0,9.0,11.0,24.0,11.0,22.0,26.0,11.0,11.0,26.0,14.0,15.0,14.0,23.0,16.0,53.0,55.0,35.0,30.0,22.0,22.0,26.0,29.0,14.0,28.0,49.0,46.0,48.0,20.0,7.0,20.0,25.0,19.0,10.0,28.0,8.0,19.0,35.0,37.0,30.0,57.0,23.0,52.0,63.0,44.0,45.0,65.0,86.0,74.0,50.0,112.0,91.0,46.0,217.0,67.0,28.0,67.0,35.0,76.0,68.0,56.0,93.0
ALASKA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ARIZONA,0.0,1.0,0.0,2.0,1.0,3.0,5.0,4.0,2.0,2.0,3.0,3.0,1.0,2.0,0.0,5.0,5.0,5.0,4.0,3.0,7.0,17.0,2.0,10.0,1.0,5.0,2.0,2.0,3.0,2.0,3.0,1.0,5.0,4.0,3.0,2.0,3.0,1.0,1.0,3.0,2.0,13.0,7.0,5.0,4.0,9.0,5.0,2.0,5.0,0.0,4.0,0.0,9.0,3.0,9.0,6.0,0.0,3.0,4.0,15.0,3.0,1.0,1.0,3.0,5.0,1.0,3.0,5.0,12.0
ARKANSAS,3.0,29.0,11.0,33.0,28.0,17.0,28.0,7.0,12.0,29.0,40.0,6.0,2.0,29.0,24.0,5.0,20.0,23.0,2.0,21.0,16.0,14.0,54.0,14.0,23.0,33.0,20.0,57.0,47.0,26.0,12.0,102.0,17.0,31.0,12.0,3.0,2.0,21.0,19.0,21.0,15.0,6.0,15.0,16.0,24.0,33.0,47.0,39.0,140.0,42.0,52.0,39.0,89.0,58.0,69.0,35.0,22.0,110.0,59.0,47.0,104.0,23.0,41.0,25.0,21.0,28.0,41.0,36.0,40.0
CALIFORNIA,1.0,1.0,2.0,1.0,3.0,2.0,1.0,10.0,1.0,1.0,1.0,4.0,0.0,4.0,5.0,5.0,5.0,0.0,1.0,2.0,2.0,4.0,1.0,3.0,3.0,6.0,3.0,14.0,4.0,9.0,3.0,14.0,10.0,2.0,3.0,8.0,4.0,6.0,4.0,5.0,16.0,20.0,12.0,9.0,5.0,22.0,17.0,25.0,3.0,9.0,7.0,3.0,0.0,10.0,30.0,9.0,6.0,7.0,2.0,9.0,9.0,12.0,5.0,9.0,10.0,5.0,3.0,6.0,15.0
COLORADO,8.0,3.0,14.0,9.0,19.0,10.0,26.0,18.0,1.0,14.0,13.0,25.0,3.0,2.0,32.0,11.0,21.0,6.0,10.0,5.0,16.0,11.0,11.0,12.0,20.0,42.0,32.0,18.0,37.0,26.0,26.0,58.0,32.0,41.0,26.0,21.0,40.0,48.0,22.0,57.0,76.0,82.0,6.0,35.0,45.0,98.0,47.0,38.0,41.0,60.0,46.0,25.0,30.0,84.0,34.0,21.0,57.0,40.0,46.0,71.0,21.0,34.0,27.0,50.0,57.0,39.0,19.0,51.0,50.0
CONNECTICUT,3.0,0.0,0.0,2.0,2.0,1.0,1.0,3.0,3.0,0.0,1.0,3.0,1.0,0.0,1.0,1.0,0.0,3.0,0.0,1.0,2.0,3.0,8.0,2.0,2.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,2.0,0.0,0.0,0.0,4.0,1.0,0.0,4.0,0.0,1.0,3.0,2.0,0.0,4.0,0.0,1.0,4.0,5.0,0.0,0.0,0.0,1.0,2.0,0.0,3.0,6.0,1.0,0.0,4.0,1.0,0.0,1.0,0.0,9.0,1.0
DELAWARE,0.0,0.0,0.0,1.0,1.0,0.0,2.0,1.0,0.0,0.0,1.0,2.0,0.0,1.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,5.0,2.0,3.0,0.0,2.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,3.0,3.0,1.0,1.0,6.0,5.0,4.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,2.0
FLORIDA,9.0,10.0,21.0,13.0,12.0,10.0,17.0,27.0,18.0,31.0,24.0,18.0,28.0,37.0,12.0,30.0,23.0,61.0,58.0,48.0,59.0,80.0,50.0,58.0,104.0,67.0,35.0,94.0,90.0,60.0,61.0,71.0,93.0,31.0,36.0,53.0,45.0,47.0,72.0,57.0,56.0,60.0,54.0,52.0,93.0,70.0,116.0,115.0,61.0,78.0,73.0,44.0,45.0,107.0,56.0,41.0,51.0,56.0,38.0,21.0,39.0,48.0,38.0,30.0,30.0,45.0,57.0,46.0,29.0
GEORGIA,3.0,13.0,12.0,37.0,16.0,18.0,23.0,11.0,10.0,7.0,48.0,12.0,22.0,19.0,14.0,21.0,25.0,24.0,17.0,20.0,50.0,44.0,36.0,44.0,25.0,21.0,17.0,19.0,20.0,43.0,8.0,15.0,29.0,38.0,12.0,10.0,3.0,4.0,45.0,18.0,18.0,25.0,16.0,32.0,21.0,18.0,24.0,45.0,13.0,33.0,14.0,29.0,32.0,46.0,59.0,25.0,56.0,86.0,68.0,13.0,67.0,17.0,25.0,43.0,25.0,34.0,147.0,25.0,56.0
HAWAII,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,5.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,3.0,1.0,0.0,1.0,2.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.0,2.0,2.0,0.0,2.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
IDAHO,0.0,0.0,0.0,3.0,1.0,5.0,1.0,1.0,2.0,0.0,4.0,3.0,0.0,2.0,0.0,0.0,5.0,1.0,1.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,2.0,1.0,2.0,5.0,3.0,10.0,7.0,9.0,2.0,9.0,11.0,4.0,6.0,3.0,8.0,4.0,6.0,7.0,1.0,14.0,2.0,3.0,4.0,5.0,6.0,10.0,3.0,2.0,2.0,2.0,2.0,2.0,6.0,3.0,1.0,2.0,1.0,4.0,5.0
ILLINOIS,5.0,4.0,5.0,9.0,27.0,30.0,46.0,33.0,37.0,43.0,46.0,13.0,15.0,8.0,34.0,11.0,43.0,9.0,10.0,17.0,17.0,36.0,65.0,111.0,46.0,37.0,35.0,16.0,12.0,16.0,36.0,39.0,14.0,36.0,17.0,24.0,24.0,24.0,19.0,64.0,36.0,23.0,12.0,17.0,59.0,71.0,35.0,105.0,76.0,58.0,21.0,40.0,136.0,87.0,22.0,144.0,23.0,55.0,61.0,53.0,78.0,37.0,71.0,56.0,83.0,48.0,59.0,60.0,51.0
INDIANA,5.0,2.0,9.0,32.0,17.0,35.0,27.0,25.0,16.0,13.0,39.0,15.0,33.0,9.0,59.0,12.0,32.0,18.0,19.0,19.0,17.0,9.0,49.0,63.0,24.0,45.0,14.0,24.0,15.0,38.0,12.0,5.0,5.0,4.0,8.0,26.0,17.0,16.0,26.0,69.0,15.0,55.0,2.0,18.0,12.0,33.0,15.0,41.0,12.0,15.0,31.0,25.0,27.0,53.0,21.0,28.0,21.0,37.0,11.0,31.0,85.0,21.0,53.0,31.0,24.0,43.0,37.0,16.0,32.0
IOWA,5.0,6.0,32.0,19.0,7.0,7.0,17.0,16.0,26.0,29.0,16.0,12.0,15.0,55.0,51.0,41.0,53.0,28.0,28.0,22.0,35.0,25.0,33.0,27.0,40.0,26.0,38.0,27.0,61.0,50.0,36.0,36.0,33.0,81.0,28.0,47.0,44.0,67.0,40.0,80.0,62.0,30.0,7.0,49.0,49.0,22.0,26.0,78.0,73.0,51.0,112.0,32.0,31.0,124.0,51.0,40.0,51.0,115.0,26.0,34.0,54.0,18.0,31.0,113.0,72.0,48.0,68.0,76.0,59.0
KANSAS,77.0,21.0,30.0,68.0,101.0,78.0,66.0,49.0,67.0,61.0,49.0,63.0,31.0,96.0,74.0,35.0,30.0,24.0,19.0,31.0,39.0,46.0,67.0,45.0,17.0,21.0,22.0,31.0,35.0,21.0,40.0,67.0,32.0,67.0,22.0,37.0,23.0,24.0,31.0,109.0,130.0,94.0,70.0,41.0,73.0,73.0,65.0,72.0,68.0,70.0,110.0,104.0,93.0,125.0,140.0,100.0,165.0,218.0,107.0,88.0,74.0,110.0,58.0,41.0,141.0,114.0,63.0,48.0,102.0
KENTUCKY,2.0,3.0,0.0,3.0,3.0,10.0,4.0,8.0,3.0,2.0,10.0,3.0,9.0,17.0,7.0,4.0,17.0,12.0,5.0,10.0,20.0,12.0,19.0,59.0,1.0,5.0,13.0,5.0,12.0,15.0,4.0,13.0,9.0,12.0,5.0,10.0,7.0,4.0,20.0,20.0,12.0,12.0,4.0,2.0,31.0,31.0,39.0,17.0,6.0,24.0,7.0,19.0,39.0,23.0,23.0,22.0,33.0,39.0,41.0,22.0,70.0,56.0,44.0,29.0,17.0,28.0,29.0,39.0,30.0
LOUISIANA,10.0,11.0,32.0,11.0,3.0,6.0,33.0,5.0,12.0,9.0,25.0,20.0,9.0,16.0,29.0,12.0,20.0,17.0,19.0,16.0,23.0,17.0,35.0,63.0,57.0,19.0,48.0,29.0,9.0,17.0,21.0,40.0,71.0,36.0,24.0,17.0,26.0,36.0,49.0,74.0,39.0,87.0,10.0,8.0,50.0,20.0,20.0,26.0,72.0,50.0,36.0,37.0,25.0,30.0,26.0,46.0,27.0,82.0,82.0,25.0,71.0,49.0,40.0,17.0,29.0,27.0,97.0,103.0,94.0
